,Biblical Index,Count,value,text,trimmed name
159,Dt 2:3,11,Henson49,1849-neh-henson49-henson49.txt,neh-henson49-henson49.txt
161,Dt 6:4,60,Hammond,1847-neh-hammond-hammond.txt,neh-hammond-hammond.txt
162,Dt 6:5,9,Story,1894-neh-story-story.txt,neh-story-story.txt
163,Dt 6:6,47,Steward,1857-fpn-steward-steward.txt,fpn-steward-steward.txt
183,Dt 1:9,15,fpn-bruce,1895-fpn-bruce-bruce.txt,fpn-bruce-bruce.txt
185,Dt 2:3,11,Adamsh,1854-neh-adamsh-adamsh.txt,neh-adamsh-adamsh.txt
187,Dt 6:4,60,andersrob,1895-neh-andersrob-andersrob.txt,neh-andersrob-andersrob.txt
188,Dt 6:5,9,Mitchell,1827-neh-mitchell-mitchell.txt,neh-mitchell-mitchell.txt
189,Dt 6:6,47,Loguen,1859-neh-loguen-loguen.txt,neh-loguen-loguen.txt
209,Dt 1:9,15,fpn-steward,1857-fpn-steward-steward.txt,fpn-steward-steward.txt
211,Dt 2:3,11,Drew,1856-neh-drew-drew.txt,neh-drew-drew.txt
213,Dt 6:4,60,Armistead,1848-neh-armistead-armistead.txt,neh-armistead-armistead.txt
214,Dt 6:5,9,Smitham,1893-neh-smitham-smith.txt,neh-smitham-smith.txt
215,Dt 6:6,47,Simmons,1887-neh-simmons-simmons.txt,neh-simmons-simmons.txt
235,Dt 1:9,15,edwardsc,1891-neh-edwardsc-edwards.txt,neh-edwardsc-edwards.txt
